😀	grinning face happy
😃	grinning face with big eyes happy smiley
😄	grinning face with smiling eyes happy smile
😁	beaming face with smiling eyes happy grin
😆	grinning squinting face happy satisfied laughing lol
😅	grinning face with sweat happy smile
🤣	rolling on the floor laughing laugh rofl lol
😂	face with tears of joy happy lol
🙂	slightly smiling face happy slight smile
🙃	upside-down face happy upside down
😉	winking face wink
😊	smiling face with smiling eyes happy blush
😇	smiling face with halo happy innocent
🥰	smiling face with hearts happy
😍	smiling face with heart-eyes happy heart eyes
🤩	star-struck
😘	face blowing a kiss kissing heart
😗	kissing face
😚	kissing face with closed eyes
😙	kissing face with smiling eyes
😋	face savoring food yum
😛	face with tongue
😜	winking face with tongue
🤪	zany face
😝	squinting face with tongue closed eyes
🤑	money-mouth face money mouth
🤗	hugging face
🤭	face with hand over mouth
🤫	shushing face
🤔	thinking face
🤐	zipper-mouth face zipper mouth
🤨	face with raised eyebrow
😐	neutral face straight
😑	expressionless face
😶	face without mouth no
😏	smirking face smirk
😒	unamused face
🙄	face with rolling eyes eyeroll
😬	grimacing face grimace
🤥	lying face
😌	relieved face
😔	pensive face
😪	sleepy face
🤤	drooling face
😴	sleeping face
😷	face with medical mask
🤒	face with thermometer thermometer2
🤕	face with head-bandage bandage
🤢	nauseated face
🤮	face vomiting
🤧	sneezing face
🥵	hot face
🥶	cold face
🥴	woozy face
😵	dizzy face
🤯	exploding head
🤠	cowboy hat face
🥳	partying face
😎	smiling face with sunglasses
🤓	nerd face
🧐	face with monocle
😕	confused face
😟	worried face
🙁	slightly frowning face slight frown sad
😮	face with open mouth
😯	hushed face
😲	astonished face
😳	flushed face
🥺	pleading face
😦	frowning face with open mouth
😧	anguished face
😨	fearful face
😰	anxious face with sweat cold
😥	sad but relieved face disappointed
😢	crying face cry sad
😭	loudly crying face sob sad
😱	face screaming in fear scream
😖	confounded face
😣	persevering face persevere
😞	disappointed face
😓	downcast face with sweat
😩	weary face
😫	tired face
🥱	yawning face
😤	face with steam from nose triumph
😡	pouting face rage
😠	angry face
🤬	face with symbols on mouth
😈	smiling face with horns imp
👿	angry face with horns imp
💀	skull
☠	skull and crossbones
💩	pile of poo hankey shit poop
🤡	clown face
👹	ogre
👺	goblin
👻	ghost
👽	alien
👾	alien monster space invader
🤖	robot
😺	grinning cat smiley
😸	grinning cat with smiling eyes smile
😹	cat with tears of joy
😻	smiling cat with heart-eyes heart eyes
😼	cat with wry smile smirk
😽	kissing cat kiss
🙀	weary cat scream
😿	crying cat cry
😾	pouting cat pout
🙈	see-no-evil monkey see no evil
🙉	hear-no-evil monkey hear no evil
🙊	speak-no-evil monkey speak no evil
💋	kiss mark
💌	love letter
💘	heart with arrow cupid
💝	heart with ribbon gift
💖	sparkling heart
💗	growing heart heartpulse
💓	beating heart heartbeat
💞	revolving hearts
💕	two hearts
💟	heart decoration
❣	heart exclamation bang
💔	broken heart
❤	red heart
🧡	orange heart
💛	yellow heart
💚	green heart
💙	blue heart
💜	purple heart
🤎	brown heart
🖤	black heart
🤍	white heart
💯	hundred points 100
💢	anger symbol
💥	collision boom
💫	dizzy star
💦	sweat droplets drops
💨	dashing away dash
🕳	hole
💣	bomb
💬	speech balloon
🗨	left speech bubble speech2
🗯	right anger bubble
💭	thought balloon
💤	zzz
👋	waving hand wave
🤚	raised back of hand
🖐	hand with fingers splayed raised hand2
✋	raised hand
🖖	vulcan salute spock
👌	OK hand ok
🤏	pinching hand
✌	victory hand v
🤞	crossed fingers hand
🤟	love-you gesture hand
🤘	sign of the horns metal hand
🤙	call me hand
👈	backhand index pointing left point
👉	backhand index pointing right point
👆	backhand index pointing up point 2
🖕	middle finger the bird fu
👇	backhand index pointing down point
☝	index pointing up point
👍	thumbs up +1
👎	thumbs down -1
✊	raised fist
👊	oncoming fist face punch bump
🤛	left-facing fist
🤜	right-facing fist
👏	clapping hands clap
🙌	raising hands raised
👐	open hands
🤲	palms up together
🤝	handshake
🙏	folded hands thanks pray
✍	writing hand
💅	nail polish care
🤳	selfie
💪	flexed biceps flex muscle
🦾	mechanical arm
🦿	mechanical leg
🦵	leg
🦶	foot
👂	ear
🦻	ear with hearing aid
👃	nose
🧠	brain
🦷	tooth
🦴	bone
👀	eyes
👁	eye
👅	tongue
👄	mouth lips
👶	baby
🧒	child
👦	boy
👧	girl
🧑	person
👱	person: blond hair person with
👨	man
🧔	man: beard
👩	woman
🧓	older person
👴	old man
👵	old woman
🙍	person frowning
🙎	person pouting with face
🙅	person gesturing NO nope no good
🙆	person gesturing OK ok woman
💁	person tipping hand sass
🙋	person raising hand
🧏	deaf person
🙇	person bowing bow
🤦	person facepalming
🤷	person shrugging
👮	police officer cop
🕵	detective spy
💂	guard
👷	construction worker
🤴	prince
👸	princess
👳	person wearing turban
👲	person with skullcap gua pi mao
🧕	woman with headscarf
🤵	person in tuxedo
👰	person with veil bride
🤱	breast-feeding
👼	baby angel
🎅	Santa Claus santa
🤶	Mrs. Claus
🦸	superhero
🦹	supervillain
🧙	mage
🧚	fairy
🧛	vampire
🧟	zombie
💆	person getting massage
💇	person getting haircut
🚶	person walking
🧍	person standing
🧎	person kneeling
🏃	person running runner run
💃	woman dancing dancer
🕺	man dancing
🕴	person in suit levitating man business
👯	people with bunny ears dancers
🧖	person in steamy room
🧗	person climbing
🤺	person fencing
🏇	horse racing
⛷	skier
🏂	snowboarder
🏌	person golfing golfer
🏄	person surfing surfer
🚣	person rowing boat rowboat
🏊	person swimming swim
⛹	person bouncing ball with
🏋	person lifting weights
🚴	person biking bicyclist
🚵	person mountain biking bicyclist
🤸	person cartwheeling
🤼	people wrestling
🤽	person playing water polo
🤾	person playing handball
🤹	person juggling
🧘	person in lotus position
🛀	person taking bath
🛌	person in bed sleeping2
👭	women holding hands woman couple
👫	woman and man holding hands couple
👬	men holding hands man couple
💏	kiss couple
💑	couple with heart
👪	family man woman boy
🗣	speaking head
👤	bust in silhouette person
👥	busts in silhouette people
👣	footprints
🦰	red hair
🦱	curly hair
🦳	white hair
🦲	bald
🐵	monkey face
🐒	monkey monkey2
🦍	gorilla
🦧	orangutan
🐶	dog face
🐕	dog dog2
🦮	guide dog
🐩	poodle
🐺	wolf
🦊	fox
🦝	raccoon
🐱	cat face
🐈	cat cat2
🦁	lion
🐯	tiger face
🐅	tiger tiger2
🐆	leopard
🐴	horse face
🐎	horse racehorse
🦄	unicorn
🦓	zebra
🦌	deer
🐮	cow face
🐂	ox
🐃	water buffalo
🐄	cow cow2
🐷	pig face
🐖	pig pig2
🐗	boar
🐽	pig nose
🐏	ram
🐑	ewe sheep
🐐	goat
🐪	camel camel2
🐫	two-hump camel
🦙	llama
🦒	giraffe
🐘	elephant
🦏	rhinoceros
🦛	hippopotamus
🐭	mouse face
🐁	mouse mouse2
🐀	rat
🐹	hamster
🐰	rabbit face
🐇	rabbit rabbit2
🐿	chipmunk
🦔	hedgehog
🦇	bat
🐻	bear
🐨	koala
🐼	panda
🦥	sloth
🦦	otter
🦨	skunk
🦘	kangaroo
🦡	badger
🐾	paw prints feet
🦃	turkey
🐔	chicken
🐓	rooster
🐣	hatching chick
🐤	baby chick
🐥	front-facing baby chick hatched
🐦	bird
🐧	penguin
🕊	dove peace
🦅	eagle
🦆	duck
🦢	swan
🦉	owl
